Titulo,Descriçao,Categoria
KMP 0404,"<h2 class=""product_title entry-title show-product-nav"">KMP 0404</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT <strong>(NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n
\n</div>
\n<table border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th style=""text-align: left;"">Tamanho do Brinquedo</th>
\n<td style=""text-align: left;"">9m x 8m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Área Necessária C/ Circulação</th>
\n<td style=""text-align: left;"">13,5 x 10,5m = 142m²</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Cubagem</th>
\n<td style=""text-align: left;"">16,06m³</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Peso</th>
\n<td style=""text-align: left;"">794,27 KG</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Altura da Torre</th>
\n<td style=""text-align: left;"">1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Norma</th>
\n<td style=""text-align: left;"">NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th style=""text-align: left;"">Idade Recomendada</th>
\n<td style=""text-align: left;"">Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>",Playgrounds Completos
KMP 0502,"<h2 class=""product_title entry-title show-product-nav"">KMP 0502</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT <strong>(NBR 16.071/21)</strong> de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 02 a 12 anos.
\n
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th>Tamanho do Brinquedo</th>
\n<td>11m x 8m</td>
\n</tr>
\n<tr>
\n<th>Área Necessária C/ Circulação</th>
\n<td>13 x 11m = 143m²</td>
\n</tr>
\n<tr>
\n<th>Cubagem</th>
\n<td>23,41m³</td>
\n</tr>
\n<tr>
\n<th>Peso</th>
\n<td>1.061,52 KG</td>
\n</tr>
\n<tr>
\n<th>Altura da Torre</th>
\n<td>1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th>Norma</th>
\n<td>NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th>Idade Recomendada</th>
\n<td>Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0601,"<h2 class=""product_title entry-title show-product-nav"">KMP 0601</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (NBR 16.071/12) de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th>Tamanho do Brinquedo</th>
\n<td>10m x 9m</td>
\n</tr>
\n<tr>
\n<th>Área Necessária C/ Circulação</th>
\n<td>13,5 x 12,5m = 169m²</td>
\n</tr>
\n<tr>
\n<th>Cubagem</th>
\n<td>20,73m³</td>
\n</tr>
\n<tr>
\n<th>Peso</th>
\n<td>1.145,89 KG</td>
\n</tr>
\n<tr>
\n<th>Altura da Torre</th>
\n<td>0,80m à 1,40m</td>
\n</tr>
\n<tr>
\n<th>Norma</th>
\n<td>NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th>Idade Recomendada</th>
\n<td>Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>",Playgrounds Completos
KMP 0603,"<h2 class=""product_title entry-title show-product-nav"">KMP 0603</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (NBR 16.071/21) de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th>Tamanho do Brinquedo</th>
\n<td>12m X 9m</td>
\n</tr>
\n<tr>
\n<th>Área Necessária C/ Circulação</th>
\n<td>15,5 x 13m = 202m²</td>
\n</tr>
\n<tr>
\n<th>Cubagem</th>
\n<td>20m³</td>
\n</tr>
\n<tr>
\n<th>Peso</th>
\n<td>1.306,49 Kg</td>
\n</tr>
\n<tr>
\n<th>Altura da Torre</th>
\n<td>1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th>Norma</th>
\n<td>NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th>Idade Recomendada</th>
\n<td>Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>",Playgrounds Completos
KMP 0702,"<h2 class=""product_title entry-title show-product-nav"">KMP 0702</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (NBR 16.071/21) de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th>Tamanho do Brinquedo</th>
\n<td>13m x 12m</td>
\n</tr>
\n<tr>
\n<th>Área Necessária C/ Circulação</th>
\n<td>16 x 12m = 192m²</td>
\n</tr>
\n<tr>
\n<th>Cubagem</th>
\n<td>28,76m³</td>
\n</tr>
\n<tr>
\n<th>Peso</th>
\n<td>1.359,26 Kg</td>
\n</tr>
\n<tr>
\n<th>Altura da Torre</th>
\n<td>1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th>Norma</th>
\n<td>NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th>Idade Recomendada</th>
\n<td>Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>",Playgrounds Completos
KMP 0901,"<h2 class=""product_title entry-title show-product-nav"">KMP 0901</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (NBR 16.071/21) de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th>Tamanho do Brinquedo</th>
\n<td>14m x 14m</td>
\n</tr>
\n<tr>
\n<th>Área Necessária C/ Circulação</th>
\n<td>17 x 17m = 289m²</td>
\n</tr>
\n<tr>
\n<th>Cubagem</th>
\n<td>39,12m³</td>
\n</tr>
\n<tr>
\n<th>Peso</th>
\n<td>1.811,94 Kg</td>
\n</tr>
\n<tr>
\n<th>Altura da Torre</th>
\n<td>1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th>Norma</th>
\n<td>NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th>Idade Recomendada</th>
\n<td>Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>",Playgrounds Completos
KMP 1101,"<h2 class=""product_title entry-title show-product-nav"">KMP 1101</h2>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com materiais de alta qualidade, dentro normas da ABNT (NBR 16.071/21) de qualidade e segurança. Isto faz com que este Playground Infantil seja um produto de excelente custo benefício pois, além de durável devido a ótimos materiais empregados a ele, este mantém a integridade física da criança por atender normas de segurança. Recomendado para crianças de 03 a 12 anos.
\n<div class=""description woocommerce-product-details__short-description"">
\n<table style=""text-align: left;"" border=""1"" cellpadding=""10"">
\n<tbody>
\n<tr>
\n<th>Tamanho do Brinquedo</th>
\n<td>14m x 14m</td>
\n</tr>
\n<tr>
\n<th>Área Necessária C/ Circulação</th>
\n<td>17 x 16m = 154m²</td>
\n</tr>
\n<tr>
\n<th>Cubagem</th>
\n<td>35,67m³</td>
\n</tr>
\n<tr>
\n<th>Peso</th>
\n<td>2.103,25 Kg</td>
\n</tr>
\n<tr>
\n<th>Altura da Torre</th>
\n<td>1,20m / 1,40m</td>
\n</tr>
\n<tr>
\n<th>Norma</th>
\n<td>NBR 16.071/21</td>
\n</tr>
\n<tr>
\n<th>Idade Recomendada</th>
\n<td>Para maiores de 03 Anos até 12 Anos</td>
\n</tr>
\n</tbody>
\n</table>
\n</div>
\n</div>",Playgrounds Completos
P-60-B,"<h2 class=""product_title entry-title show-product-nav"">P-60-B</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Balanço infantil.
\n
\nÁrea necessária: 4m x 5m.
\n
\nIdade Recomendada: 3 a 12 anos
\n
\nDescrição: O Balanço para Crianças P-60 B da Krenke Brinquedos é um balanço composto por uma estrutura de alumínio e uma travessa de tubo de metal galvanizado com 2 balanços de assento em plástico rotomoldado.
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
P-63,"<h2 class=""product_title entry-title show-product-nav"">P-63</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Carrossel infantil
\n
\nÁrea Necessária: 3m de diâmetro.
\n
\nIdade Recomendada: 3 a 12 anos
\n
\nO carrossel infantil da Krenke Brinquedos é uma estrutura de brinquedo própria para o lazer da criança, colorido e possui 8 lugares, este é o produto ideal para escolas, condomínios, praças ou mesmo para ter em casas particulares.
\n
\nFeito em aço e assentos em plástico rotomoldado é totalmente seguro, resistente e colorido. O plástico rotomoldado não desbota dando mais cor e alegria ao brinquedo.
\n
\nA Krenke Brinquedos preza muito pela segurança de seus produtos, todos os brinquedos da empresa passam por um rigoroso controle de qualidade o que garante que o cliente receberá um produto muito bem acabado e com excelente material empregado em sua fabricação o que aumentará ainda mais o custo benefício do carrossel infantil, pois isto prolongará a vida útil do brinquedo e manterá o mesmo com o aspecto de novo por muito mais tempo.
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
P-59-A,"<h2 class=""product_title entry-title show-product-nav"">P-59-A</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Gangorra
\n
\nA gangorra da Krenke é o produto ideal para o lazer das crianças, um produto feito de alumínio com material de ótima qualidade e com perfeito acabamento o que garante maior durabilidade ao produto e, ainda irá manter a aparência de um produto novo por mais tempo.
\n
\nIdade Recomendada: 3 a 12 anos
\n
\nEstrutura de alumínio e assentos em plástico rotomoldado.
\n
\nTamanho: 2,70m de comprimento.
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
KM 70,"<h2 class=""product_title entry-title show-product-nav"">KM 70</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Cavalinho de Mola
\n
\nIdade Recomendada: 3 a 12 anos
\n
\nDescrição: Brinquedo infantil sobre mola em formato de cavalo com a seguinte descrição: peça de plástico polietileno rotomoldado, 690mm de largura total, 1200mm de comprimento (do bico a cauda) e 530mm de altura até o assento, em formato de cavalo; mola feita com aço galvanizado a fogo com Ø20mm de diâmetro, revestido com pintura eletroestática, 400mm de altura e 200mm de largura; suporte âncora feito com aço galvanizado a fogo, para fixação da mola no brinquedo e para fixação da mola dentro ou sobre o concreto ou terra;
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
KM 80,"<h2 class=""product_title entry-title show-product-nav"">KM 80</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Moto de Mola
\n
\nIdade Recomendada: 3 a 12 anos
\n
\nDescrição: Brinquedo infantil sobre mola em formato de motocicleta com a seguinte descrição: peça de plástico polietileno rotomoldado na cor azul ou laranja, 320mm de largura total, 960mm de comprimento e 520mm de altura até o assento, em formato de motocicleta; mola feita com aço galvanizado a fogo com Ø20mm de diâmetro, revestido com pintura eletroestática, 400mm de altura e 200mm de largura; suporte âncora feito com aço galvanizado a fogo, para fixação da mola no brinquedo e para fixação da mola dentro ou sobre o concreto ou terra;
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
P-60-C,"<h2 class=""product_title entry-title show-product-nav"">P-60-C</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Balanço Ninho
\n
\nÁrea necessária: 2m x 1,85m.
\n
\nIdade Recomendada: 1 a 3 anos
\n
\nDescrição: O Balanço ninho P-60 C da Krenke Brinquedos é um balanço composto por uma estrutura de alumínio e uma travessa de tubo de metal galvanizado com acento em forma de cesto em plástico rotomoldado.
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
TOBOGÃ ESPECIAL,"<h2 class=""product_title entry-title show-product-nav"">TOBOGÃ ESPECIAL</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nFabricado em plástico rotomoldado, podendo ser instalado em qualquer lugar e projetado na altura desejada conforme a escolha do cliente, com toda segurança e qualidade.
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
PIRÂMIDE DE CORDAS,"<h2 class=""product_title entry-title show-product-nav"">PIRÂMIDE DE CORDAS</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nMódulo escalada avulso, tipo teia de aranha formato cônico. Contém: Estrutura em aço estrutural com revestimento em zinco e pintura epóxi eletrostática Cor verde; Cordas 100% poliéster, cor verde oliva; uniões cruzadas produzidas em polietileno cor laranja; Acabamento tipo coqueiro produzido em polietileno cor verde. Elemento de fixação zincados. Altura 4 metros, diâmetro 3, metros.
\n
\nIdade Recomendada: 4 a 12 anos
\n
\nImagem ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
SCANDERE DOMOS,"<h2 class=""product_title entry-title show-product-nav"">SCANDERE DOMOS</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nÉ fabricando com material de ferro tubular galvanizado e pintado com tinta a pó sem materiais pesados medindo<strong> 2,70</strong> m de diâmetro com altura <strong>1,40 m.</strong>
\n
\nIdade Recomendada: 4 a 12 anos
\n
\nImagem ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
KM 50,"<h2 class=""product_title entry-title show-product-nav"">KM 50</h2>
\n<div class=""product-nav"">
\n<div class=""product-prev""></div>
\n<div class=""product-next""></div>
\n</div>
\n<div class=""description woocommerce-product-details__short-description"">
\n
\nNome: Golfinho de Mola
\n
\nIdade Recomendada: 3 a 12 anos
\n
\nDescrição: Brinquedo infantil sobre mola em formato de golfinho com a seguinte descrição: peça de plástico polietileno rotomoldado na cor azul, 320mm de largura total, 960mm de comprimento e 520mm de altura até o assento, em formato de motocicleta; mola feita com aço galvanizado a fogo com Ø20mm de diâmetro, revestido com pintura eletroestática, 400mm de altura e 200mm de largura; suporte âncora feito com aço galvanizado a fogo, para fixação da mola no brinquedo e para fixação da mola dentro ou sobre o concreto ou terra;
\n
\nImagem meramente ilustrativa!
\n
\n</div>
\n<div class=""product_meta""><span class=""posted_in"">CATEGORIA: <a href=""https://www.krenke.com.br/categoria-produto/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a></span><span class=""tagged_as"">TAGS: <a href=""https://www.krenke.com.br/produto-tag/brinquedos-avulsos/"" rel=""tag"">BRINQUEDOS AVULSOS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-escolas/"" rel=""tag"">BRINQUEDOS PARA ESCOLAS</a>, <a href=""https://www.krenke.com.br/produto-tag/brinquedos-para-parquinhos/"" rel=""tag"">BRINQUEDOS PARA PARQUINHOS</a></span></div>",Brinquedos Avulsos
